0 : B000:[---][---][---][---][---][---][---][---] | L001:[001][---] | L001:[001][---]
1 : B000:[---][---][---][---][---][---][---][---] | L001:[001][---] | L001:[001][---]
2 : B000:[---][---][---][---][---][---][---][---] | L001:[001][---] | L001:[001][---]
3 : B000:[---][---][---][---][---][---][---][---] | L001:[001][001] | L001:[001][001]
4 : B000:[---][---][---][---][---][---][---][---] | L001:[001][---] | L001:[001][---]
5 : B000:[---][---][---][---][---][---][---][---] | L001:[001][001] | L001:[001][001]
6 : B000:[---][---][---][---][---][001][---][---] | L001:[002][000] | L002:[001][---]
7 : B000:[---][---][---][---][---][001][---][---] | L001:[002][000] | L002:[001][---]
8 : B000:[---][---][---][---][---][001][---][---] | L001:[002][000] | L002:[001][---]
9 : B000:[---][---][---][---][---][001][---][---] | L001:[002][000] | L002:[001][---]
10 : B000:[---][---][---][---][---][001][---][---] | L001:[002][000] | L002:[001][---]
11 : B000:[---][---][---][---][---][001][---][---] | L001:[002][000] | L002:[001][---]
12 : B000:[---][---][---][---][---][001][---][---] | L001:[002][000] | L002:[001][---]
13 : B000:[---][---][---][---][---][001][---][---] | L001:[002][000] | L002:[001][---]
14 : B000:[---][---][---][---][---][001][---][---] | L001:[002][000] | L002:[001][---]
15 : B000:[---][---][---][---][---][001][---][---] | L001:[002][000] | L002:[001][---]
16 : B000:[---][---][---][---][001][001][---][---] | L001:[000][---] | L001:[000][---]
17 : B000:[---][---][---][---][001][001][---][---] | L001:[001][000] | L001:[001][000]
18 : B000:[---][---][---][---][001][001][---][---] | L001:[000][---] | L001:[000][---]
19 : B000:[---][---][---][---][001][001][---][---] | L001:[001][000] | L001:[001][000]
20 : B000:[---][---][---][---][---][001][---][---] | L001:[002][000] | L002:[001][---]
21 : B000:[---][---][---][---][---][001][---][---] | L001:[002][000] | L002:[001][---]
22 : B000:[---][---][---][---][001][001][---][---] | L001:[000][---] | L001:[000][---]
23 : B000:[---][---][---][---][001][001][---][---] | L001:[001][000] | L001:[001][000]
24 : B000:[---][---][---][---][001][001][---][---] | L001:[000][---] | L001:[000][---]
25 : B000:[---][---][---][---][001][001][---][---] | L001:[001][000] | L001:[001][000]
26 : B000:[---][---][---][---][---][001][---][---] | L001:[002][000] | L002:[001][---]
27 : B000:[---][---][---][---][---][001][---][---] | L001:[002][000] | L002:[001][---]
28 : B000:[---][---][---][---][001][001][---][---] | L001:[000][---] | L001:[000][---]
29 : B000:[---][---][---][---][001][001][---][---] | L001:[001][000] | L001:[001][000]
30 : B000:[---][---][---][---][001][001][---][---] | L001:[000][---] | L001:[000][---]
31 : B000:[---][---][---][---][001][001][---][---] | L001:[001][000] | L001:[001][000]
32 : B000:[---][---][---][---][---][001][---][---] | L001:[002][000] | L002:[001][---]
33 : B000:[---][---][---][---][---][001][---][---] | L001:[002][000] | L002:[001][---]
34 : B000:[---][---][---][---][001][001][---][---] | L001:[000][---] | L001:[000][---]
35 : B000:[---][---][---][---][001][001][---][---] | L001:[001][000] | L001:[001][000]
36 : B000:[---][---][---][---][001][001][---][---] | L001:[000][---] | L001:[000][---]
37 : B000:[---][---][---][---][001][001][---][---] | L001:[001][000] | L001:[001][000]
38 : B000:[---][---][---][---][---][001][---][---] | L001:[002][000] | L002:[001][---]
39 : B000:[---][---][---][---][---][001][---][---] | L001:[002][000] | L002:[001][---]
40 : B000:[---][---][---][---][---][001][---][---] | L001:[002][000] | L002:[001][---]
41 : B000:[---][---][---][---][---][001][---][---] | L001:[002][000] | L002:[001][---]
42 : B000:[---][---][---][---][---][001][---][---] | L001:[002][000] | L002:[001][---]
43 : B000:[---][---][---][---][---][001][---][---] | L001:[002][000] | L002:[001][---]
44 : B000:[---][---][---][---][---][001][---][---] | L001:[002][000] | L002:[001][---]
45 : B000:[---][---][---][---][---][001][---][---] | L001:[002][000] | L002:[001][---]
46 : B000:[---][---][---][---][---][001][---][---] | L001:[002][000] | L002:[001][---]
47 : B000:[---][---][---][---][---][001][---][---] | L001:[002][000] | L002:[001][---]
48 : B000:[---][---][---][---][001][001][---][---] | L001:[000][---] | L001:[000][---]
49 : B000:[---][---][---][---][001][001][---][---] | L001:[001][000] | L001:[001][000]
50 : B000:[---][---][---][---][001][001][---][---] | L001:[000][---] | L001:[000][---]
51 : B000:[---][---][---][---][001][001][---][---] | L001:[001][000] | L001:[001][000]
52 : B000:[---][---][---][---][---][001][---][---] | L001:[002][000] | L002:[001][---]
53 : B000:[---][---][---][---][---][001][---][---] | L001:[002][000] | L002:[001][---]
54 : B000:[---][---][---][---][001][001][---][---] | L001:[000][---] | L001:[000][---]
55 : B000:[---][---][---][---][001][001][---][---] | L001:[001][000] | L001:[001][000]
56 : B000:[---][---][---][---][001][001][---][---] | L001:[000][---] | L001:[000][---]
57 : B000:[---][---][---][---][001][001][---][---] | L001:[001][000] | L001:[001][000]
58 : B000:[---][---][---][---][---][001][---][---] | L001:[002][000] | L002:[001][---]
59 : B000:[---][---][---][---][---][001][---][---] | L001:[002][000] | L002:[001][---]
60 : B000:[---][---][---][---][001][001][---][---] | L001:[000][---] | L001:[000][---]
61 : B000:[---][---][---][---][001][001][---][---] | L001:[001][000] | L001:[001][000]
62 : B000:[---][---][---][---][001][001][---][---] | L001:[000][---] | L001:[000][---]
63 : B000:[---][---][---][---][001][001][---][---] | L001:[001][000] | L001:[001][000]
64 : B000:[---][---][---][---][---][001][---][---] | L001:[002][000] | L002:[001][---]
65 : B000:[---][---][---][---][---][001][---][---] | L001:[002][000] | L002:[001][---]
66 : B000:[---][---][---][---][001][001][---][---] | L001:[000][---] | L001:[000][---]
67 : B000:[---][---][---][---][001][001][---][---] | L001:[001][000] | L001:[001][000]
68 : B000:[---][---][---][---][001][001][---][---] | L001:[000][---] | L001:[000][---]
69 : B000:[---][---][---][---][001][001][---][---] | L001:[001][000] | L001:[001][000]
70 : B000:[---][---][001][---][---][---][---][---] | L001:[000][002] | L002:[001][---]
71 : B000:[---][---][001][---][---][---][---][---] | L001:[000][002] | L002:[001][---]
72 : B000:[---][---][001][---][002][---][---][---] | L001:[000][---] | L002:[000][---]
73 : B000:[---][---][001][---][002][---][---][---] | L001:[000][002] | L002:[000][001]
74 : B000:[---][---][001][---][002][---][---][---] | L001:[000][---] | L002:[000][---]
75 : B000:[---][---][001][---][002][---][---][---] | L001:[000][002] | L002:[000][001]
76 : B000:[---][---][---][001][002][---][---][---] | L001:[000][---] | L002:[000][---]
77 : B000:[---][---][---][001][002][---][---][---] | L001:[002][000] | L002:[001][000]
78 : B000:[---][---][002][---][001][001][---][---] | L001:[000][000] | L002:[000][---]
79 : B000:[---][---][---][001][002][---][---][---] | L001:[000][---] | L002:[000][---]
80 : B000:[---][---][---][001][002][---][---][---] | L001:[002][000] | L002:[001][000]
81 : B000:[---][---][002][---][001][001][---][---] | L001:[000][000] | L002:[000][---]
82 : B000:[---][---][001][---][002][---][---][---] | L001:[000][---] | L002:[000][---]
