B000:[---][---][---][---][---][---][---][---] | L001:[001][---] | L001:[001][---] : 0, 1, 2, 4
B000:[---][---][---][---][---][---][---][---] | L001:[001][001] | L001:[001][001] : 3, 5
B000:[---][---][---][---][---][001][---][---] | L001:[002][000] | L002:[001][---] : 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 20, 21, 26, 27, 32, 33, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 52, 53, 58, 59, 64, 65
B000:[---][---][---][---][001][001][---][---] | L001:[000][---] | L001:[000][---] : 16, 18, 22, 24, 28, 30, 34, 36, 48, 50, 54, 56, 60, 62, 66, 68
B000:[---][---][---][---][001][001][---][---] | L001:[001][000] | L001:[001][000] : 17, 19, 23, 25, 29, 31, 35, 37, 49, 51, 55, 57, 61, 63, 67, 69
B000:[---][---][001][---][---][---][---][---] | L001:[000][002] | L002:[001][---] : 70, 71, 92, 93, 114, 115, 136, 137, 158, 159, 196, 197, 234, 235, 272, 273
B000:[---][---][001][---][002][---][---][---] | L001:[000][---] | L002:[000][---] : 72, 74, 82, 84, 94, 96, 104, 106, 116, 118, 126, 128, 138, 140, 148, 150, 164, 167, 174, 177, 202, 205, 212, 215, 240, 243, 250, 253, 278, 281, 288, 291
B000:[---][---][001][---][002][---][---][---] | L001:[000][002] | L002:[000][001] : 73, 75, 83, 85, 95, 97, 105, 107, 117, 119, 127, 129, 139, 141, 149, 151, 165, 168, 175, 178, 203, 206, 213, 216, 241, 244, 251, 254, 279, 282, 289, 292
B000:[---][---][---][001][002][---][---][---] | L001:[000][---] | L002:[000][---] : 76, 79, 86, 89, 98, 101, 108, 111, 120, 123, 130, 133, 142, 145, 152, 155, 160, 162, 170, 172, 198, 200, 208, 210, 236, 238, 246, 248, 274, 276, 284, 286
B000:[---][---][---][001][002][---][---][---] | L001:[002][000] | L002:[001][000] : 77, 80, 87, 90, 99, 102, 109, 112, 121, 124, 131, 134, 143, 146, 153, 156, 161, 163, 171, 173, 199, 201, 209, 211, 237, 239, 247, 249, 275, 277, 285, 287
B000:[---][---][002][---][001][001][---][---] | L001:[000][000] | L002:[000][---] : 78, 81, 88, 91, 100, 103, 110, 113, 122, 125, 132, 135, 144, 147, 154, 157, 166, 169, 176, 179, 204, 207, 214, 217, 242, 245, 252, 255, 280, 283, 290, 293
B000:[---][---][001][001][002][---][---][---] | L001:[000][000] | L002:[000][---] : 180, 181, 182, 184, 186, 187, 188, 190, 218, 219, 220, 222, 224, 225, 226, 228, 260, 261, 262, 264, 266, 267, 268, 270, 298, 299, 300, 302, 304, 305, 306, 308
B000:[---][---][002][002][001][001][---][---] | L001:[000][000] | L002:[000][000] : 183, 185, 189, 191, 221, 223, 227, 229, 263, 265, 269, 271, 301, 303, 307, 309
B000:[---][---][001][001][---][---][---][---] | L001:[000][---] | L001:[000][---] : 192, 194, 230, 232, 256, 258, 294, 296
B000:[---][---][001][001][---][---][---][---] | L001:[001][000] | L001:[001][000] : 193, 195, 231, 233, 257, 259, 295, 297
B000:[001][---][---][---][---][---][---][---] | L001:[002][000] | L002:[001][---] : 310, 311, 342, 343, 374, 375, 406, 407, 438, 439, 470, 471, 502, 503, 534, 535
B000:[002][---][---][---][001][---][---][---] | L001:[000][---] | L002:[000][---] : 312, 314, 322, 324, 344, 346, 354, 356, 376, 378, 386, 388, 408, 410, 418, 420, 444, 447, 454, 457, 476, 479, 486, 489, 508, 511, 518, 521, 540, 543, 550, 553
B000:[002][---][---][---][001][---][---][---] | L001:[000][002] | L002:[000][001] : 313, 315, 323, 325, 345, 347, 355, 357, 377, 379, 387, 389, 409, 411, 419, 421, 445, 448, 455, 458, 477, 480, 487, 490, 509, 512, 519, 522, 541, 544, 551, 554
B000:[002][---][---][---][---][001][---][---] | L001:[000][---] | L002:[000][---] : 316, 319, 326, 329, 348, 351, 358, 361, 380, 383, 390, 393, 412, 415, 422, 425, 440, 442, 450, 452, 472, 474, 482, 484, 504, 506, 514, 516, 536, 538, 546, 548
B000:[002][---][---][---][---][001][---][---] | L001:[002][000] | L002:[001][000] : 317, 320, 327, 330, 349, 352, 359, 362, 381, 384, 391, 394, 413, 416, 423, 426, 441, 443, 451, 453, 473, 475, 483, 485, 505, 507, 515, 517, 537, 539, 547, 549
B000:[002][---][---][---][001][001][---][---] | L001:[000][000] | L002:[000][---] : 318, 321, 328, 331, 350, 353, 360, 363, 382, 385, 392, 395, 414, 417, 424, 427, 446, 449, 456, 459, 478, 481, 488, 491, 510, 513, 520, 523, 542, 545, 552, 555
B000:[002][---][001][---][---][---][---][---] | L001:[000][---] | L002:[000][---] : 332, 334, 364, 366, 396, 398, 428, 430, 464, 467, 496, 499, 528, 531, 560, 563
B000:[002][---][001][---][---][---][---][---] | L001:[000][002] | L002:[000][001] : 333, 335, 365, 367, 397, 399, 429, 431, 465, 468, 497, 500, 529, 532, 561, 564
B000:[002][---][---][001][---][---][---][---] | L001:[000][---] | L002:[000][---] : 336, 339, 368, 371, 400, 403, 432, 435, 460, 462, 492, 494, 524, 526, 556, 558
B000:[---][002][001][---][---][---][---][---] | L001:[000][002] | L002:[001][000] : 337, 340, 369, 372, 401, 404, 433, 436, 461, 463, 493, 495, 525, 527, 557, 559
B000:[002][---][001][001][---][---][---][---] | L001:[000][000] | L002:[000][---] : 338, 341, 370, 373, 402, 405, 434, 437, 466, 469, 498, 501, 530, 533, 562, 565
